Category,Key,Value
Domain,URL,continent8.com
Network,IP_Address,N/A
Confidence,Enhanced_Confidence,100%
Analysis,Timestamp,2025-08-22 17:23:27 UTC
Providers,Primary Provider,Continent 8 LLC
Providers,CDN Providers,None
Providers,DNS Providers,None
Providers,Hosting Providers,None
Providers,Cloud Providers,None
Analysis Steps,Base Provider Detection,completed | +15% confidence | 0 findings
Analysis Steps,step_2_ssl_analysis,pending | +0% confidence | 0 findings
Analysis Steps,step_3_enhanced_dns,pending | +0% confidence | 0 findings
Analysis Steps,step_4_geographic_intel,pending | +0% confidence | 0 findings
Analysis Steps,step_5_bgp_analysis,pending | +0% confidence | 0 findings
Analysis Steps,step_6_advanced_bgp_classification,pending | +0% confidence | 0 findings
Analysis Steps,step_7_threat_intelligence,pending | +0% confidence | 0 findings
Analysis Steps,step_8_cross_validation,pending | +0% confidence | 0 findings
